Generator,MMD,Wasserstein_Distance,Mean_Euclidean_Distance,KL_Divergence,Trace_Difference,FID_Score,Precision,Coverage
fm_100_steps,0.008669137954711914,0.12854097096033001,8.72957706451416,269.13468903845524,-25.75627318167585,237.89757361514307,0.71,0.448
fm_guided_combo_max,0.011112570762634277,0.1619912556249119,14.444622039794922,294.5137755403296,-71.40348032616271,412.97512289913993,0.485,0.194
fm_guided_combo_maxmin,0.009762287139892578,0.15446250441274856,11.244658470153809,240.95035437776426,-73.23395718493066,300.68073983350587,0.63,0.296
fm_guided_combo_maxmin_tune_1a,0.009091854095458984,0.13625610962048995,9.391432762145996,222.39462893852547,-75.45440831566327,244.06381514078794,0.705,0.406
fm_guided_combo_maxmin_tune_1b,0.009156465530395508,0.1441994930306123,9.068843841552734,229.38872838057696,-49.149017811674184,225.2730819116564,0.785,0.446
fm_guided_combo_maxmin_tune_2a,0.008975863456726074,0.1436077293606104,9.293787002563477,242.68946227045478,-43.56873291842953,221.9452341356789,0.76,0.39
fm_guided_combo_maxmin_tune_2b,0.008795499801635742,0.14882587232500555,9.519784927368164,270.334776429248,-58.54628227241426,246.711585524675,0.755,0.41
fm_guided_combo_minmax,0.010275721549987793,0.13443581657656978,10.069628715515137,293.8127855423232,-75.2503552628175,281.8109505098505,0.635,0.308
fm_guided_gmm_max,0.009123682975769043,0.13807075545628322,9.184991836547852,299.7988319144204,-8.260802524868609,221.59245713667156,0.785,0.432
fm_guided_surprise_max,0.008725881576538086,0.15053157260331318,10.235834121704102,260.7082720525053,-7.43566344153362,251.36374545454942,0.77,0.398
