Generator,MMD,Wasserstein_Distance,Mean_Euclidean_Distance,KL_Divergence,Trace_Difference,FID_Score,Precision,Coverage
fm_100_steps,0.005332589149475098,0.03687816641468089,1.842530608177185,194.39503697976195,-3.328901587636892,18.06046951163276,0.855,0.688
fm_guided_combo_max,0.005927443504333496,0.03700348065558501,1.743187665939331,209.91894370042564,-3.2636583816436655,19.2532121747127,0.885,0.648
fm_guided_combo_maxmin,0.005197882652282715,0.03486824721517223,1.6568113565444946,195.5959826287255,-5.4044583771695756,18.417976292704225,0.885,0.678
fm_guided_combo_maxmin_tune_1a,0.00523686408996582,0.03563141052916308,1.742243766784668,191.90303851754666,-9.15687947488999,20.263569642792532,0.875,0.708
fm_guided_combo_maxmin_tune_1b,0.004769325256347656,0.033843419801769414,1.6176269054412842,204.9757072815662,-7.743378099748341,18.66202411323269,0.89,0.736
fm_guided_combo_maxmin_tune_2a,0.004595160484313965,0.03348602361744213,1.5126904249191284,195.2521655845601,-3.705641292237729,16.263464996154653,0.935,0.68
fm_guided_combo_maxmin_tune_2b,0.0050201416015625,0.034077608057828,1.617514729499817,234.53102463000653,-5.152837621268972,18.14532886546101,0.9,0.694
fm_guided_combo_minmax,0.0054779052734375,0.036760126903004675,1.7224725484848022,199.62787023625702,-6.848132590729421,19.17016880403844,0.875,0.698
fm_guided_gmm_max,0.0049896240234375,0.03262979252843934,1.4584720134735107,198.68816066206003,-2.939506526121022,15.125808750056848,0.935,0.702
fm_guided_surprise_max,0.004937648773193359,0.033010094665542056,1.3058695793151855,204.37447045460732,-3.0738182141686536,14.70427199444049,0.94,0.704
