Generator,Inception_MMD,Inception_Wasserstein_Distance,Inception_Mean_Euclidean_Distance,Inception_KL_Divergence,Inception_Trace_Difference,Inception_FID_Score,Inception_Precision,Inception_Coverage,VAE_MMD,VAE_Wasserstein_Distance,VAE_Mean_Euclidean_Distance,VAE_KL_Divergence,VAE_Trace_Difference,VAE_FID_Score,VAE_Precision,VAE_Coverage,DINOv2_MMD,DINOv2_Wasserstein_Distance,DINOv2_Mean_Euclidean_Distance,DINOv2_KL_Divergence,DINOv2_Trace_Difference,DINOv2_FID_Score,DINOv2_Precision,DINOv2_Coverage
fm_100_steps,0.005332589149475098,0.03687816641468089,1.842530608177185,194.39503697976195,-3.328901587636892,18.06046951163276,0.855,0.688,0.002438068389892578,0.045956270592711235,2.235609769821167,1211.2971709522492,-23.659502692203944,70.4035307945212,0.835,0.736,0.008669137954711914,0.12854097096033001,8.72957706451416,269.13468903845524,-25.75627318167585,237.89757361514307,0.71,0.448
fm_guided_combo_max,0.005927443504333496,0.03700348065558501,1.743187665939331,209.91894370042564,-3.2636583816436655,19.2532121747127,0.885,0.648,0.002397775650024414,0.06239610698889919,4.135991096496582,3983.1963059292643,-134.68125669752806,126.81384021184363,0.865,0.648,0.011112570762634277,0.1619912556249119,14.444622039794922,294.5137755403296,-71.40348032616271,412.97512289913993,0.485,0.194
fm_guided_combo_maxmin,0.005197882652282715,0.03486824721517223,1.6568113565444946,195.5959826287255,-5.4044583771695756,18.417976292704225,0.885,0.678,0.0015025138854980469,0.05543810030212626,2.9884252548217773,2420.655490504568,-115.55180867282462,106.06297282580158,0.89,0.678,0.009762287139892578,0.15446250441274856,11.244658470153809,240.95035437776426,-73.23395718493066,300.68073983350587,0.63,0.296
fm_guided_combo_maxmin_tune_1a,0.00523686408996582,0.03563141052916308,1.742243766784668,191.90303851754666,-9.15687947488999,20.263569642792532,0.875,0.708,0.0017006397247314453,0.07280641707423285,4.531767845153809,1033.791114065603,-86.84730097821023,105.35219406433669,0.84,0.638,0.009091854095458984,0.13625610962048995,9.391432762145996,222.39462893852547,-75.45440831566327,244.06381514078794,0.705,0.406
fm_guided_combo_maxmin_tune_1b,0.004769325256347656,0.033843419801769414,1.6176269054412842,204.9757072815662,-7.743378099748341,18.66202411323269,0.89,0.736,0.0013637542724609375,0.04618160747196498,2.49892258644104,943.6836320063708,-154.473733143782,101.83468888144512,0.91,0.782,0.009156465530395508,0.1441994930306123,9.068843841552734,229.38872838057696,-49.149017811674184,225.2730819116564,0.785,0.446
fm_guided_combo_maxmin_tune_2a,0.004595160484313965,0.03348602361744213,1.5126904249191284,195.2521655845601,-3.705641292237729,16.263464996154653,0.935,0.68,0.0017256736755371094,0.05601824759385465,3.83247709274292,770.1754120264777,-40.68135908362524,69.5406594418505,0.9,0.718,0.008975863456726074,0.1436077293606104,9.293787002563477,242.68946227045478,-43.56873291842953,221.9452341356789,0.76,0.39
fm_guided_combo_maxmin_tune_2b,0.0050201416015625,0.034077608057828,1.617514729499817,234.53102463000653,-5.152837621268972,18.14532886546101,0.9,0.694,0.0015184879302978516,0.06570681158586922,4.072568893432617,1414.5528634719828,-116.84038193480251,115.88780478181775,0.91,0.724,0.008795499801635742,0.14882587232500555,9.519784927368164,270.334776429248,-58.54628227241426,246.711585524675,0.755,0.41
fm_guided_combo_minmax,0.0054779052734375,0.036760126903004675,1.7224725484848022,199.62787023625702,-6.848132590729421,19.17016880403844,0.875,0.698,0.0013710260391235352,0.06806529582928533,4.284389495849609,2590.525627416658,-22.124816189509033,84.70094477968303,0.875,0.724,0.010275721549987793,0.13443581657656978,10.069628715515137,293.8127855423232,-75.2503552628175,281.8109505098505,0.635,0.308
fm_guided_gmm_max,0.0049896240234375,0.03262979252843934,1.4584720134735107,198.68816066206003,-2.939506526121022,15.125808750056848,0.935,0.702,0.002702474594116211,0.05975890356381797,4.078006267547607,1247.335705845401,-5.52985466480078,59.92426912531948,0.935,0.722,0.009123682975769043,0.13807075545628322,9.184991836547852,299.7988319144204,-8.260802524868609,221.59245713667156,0.785,0.432
fm_guided_surprise_max,0.004937648773193359,0.033010094665542056,1.3058695793151855,204.37447045460732,-3.0738182141686536,14.70427199444049,0.94,0.704,0.0021028518676757812,0.07310659005509024,4.267496109008789,3593.9785099248484,-60.17522373995297,84.29623742982017,0.91,0.662,0.008725881576538086,0.15053157260331318,10.235834121704102,260.7082720525053,-7.43566344153362,251.36374545454942,0.77,0.398
