image_key,split,image_id,stem,file_name,image_path,width,height,image_area,n_objects,n_edges,pairwise_truncated,class_entropy,total_bbox_area,image_area_density,graph_score_raw_sum,graph_score_mean,graph_score,S_iou,S_prox,S_scale,S_direction,relation_entropy,relation_counts
test:sequence-20250203-083945-802612-94f5a2-6284528f5c2348b0b42a4432b6960fccf1e8423bfeac93b4db2a74262166583f-20,test,sequence-20250203-083945-802612-94f5a2-6284528f5c2348b0b42a4432b6960fccf1e8423bfeac93b4db2a74262166583f-20,sequence-20250203-083945-802612-94f5a2-6284528f5c2348b0b42a4432b6960fccf1e8423bfeac93b4db2a74262166583f-20,sequence-20250203-083945-802612-94f5a2-6284528f5c2348b0b42a4432b6960fccf1e8423bfeac93b4db2a74262166583f-20.npy,/projets/Fbassignana/diffusers_try/flow_matching_trial/data/raw/v18/test/sequence-20250203-083945-802612-94f5a2-6284528f5c2348b0b42a4432b6960fccf1e8423bfeac93b4db2a74262166583f-20.npy,256,192,49152,1,0,False,0.0,2511.448323779041,0.051095546951884785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
test:sequence-20250203-084521-559786-985a04-6cb7feb2fa4abcd09c66377aad4b143007973b1cae02d5985e43b60af9f21463-22,test,sequence-20250203-084521-559786-985a04-6cb7feb2fa4abcd09c66377aad4b143007973b1cae02d5985e43b60af9f21463-22,sequence-20250203-084521-559786-985a04-6cb7feb2fa4abcd09c66377aad4b143007973b1cae02d5985e43b60af9f21463-22,sequence-20250203-084521-559786-985a04-6cb7feb2fa4abcd09c66377aad4b143007973b1cae02d5985e43b60af9f21463-22.npy,/projets/Fbassignana/diffusers_try/flow_matching_trial/data/raw/v18/test/sequence-20250203-084521-559786-985a04-6cb7feb2fa4abcd09c66377aad4b143007973b1cae02d5985e43b60af9f21463-22.npy,256,192,49152,1,0,False,0.0,1900.4118851600679,0.03866397878336727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
test:sequence-20250203-145344-461511-94eaef-6a70522dee55f94eafa476a92e5934d286ebbcb48784ef3658c20396395b0626-11,test,sequence-20250203-145344-461511-94eaef-6a70522dee55f94eafa476a92e5934d286ebbcb48784ef3658c20396395b0626-11,sequence-20250203-145344-461511-94eaef-6a70522dee55f94eafa476a92e5934d286ebbcb48784ef3658c20396395b0626-11,sequence-20250203-145344-461511-94eaef-6a70522dee55f94eafa476a92e5934d286ebbcb48784ef3658c20396395b0626-11.npy,/projets/Fbassignana/diffusers_try/flow_matching_trial/data/raw/v18/test/sequence-20250203-145344-461511-94eaef-6a70522dee55f94eafa476a92e5934d286ebbcb48784ef3658c20396395b0626-11.npy,256,192,49152,1,0,False,0.0,1534.882594307076,0.031227266322979248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
test:sequence-20250203-164721-454738-9834f0-a1af30344aa351354e69e4269932e72362bbf28fab36e8b570a4852c05b0e36b-10,test,sequence-20250203-164721-454738-9834f0-a1af30344aa351354e69e4269932e72362bbf28fab36e8b570a4852c05b0e36b-10,sequence-20250203-164721-454738-9834f0-a1af30344aa351354e69e4269932e72362bbf28fab36e8b570a4852c05b0e36b-10,sequence-20250203-164721-454738-9834f0-a1af30344aa351354e69e4269932e72362bbf28fab36e8b570a4852c05b0e36b-10.npy,/projets/Fbassignana/diffusers_try/flow_matching_trial/data/raw/v18/test/sequence-20250203-164721-454738-9834f0-a1af30344aa351354e69e4269932e72362bbf28fab36e8b570a4852c05b0e36b-10.npy,256,192,49152,1,0,False,0.0,2649.631604332477,0.0539068929917903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
test:sequence-20250203-171900-879773-9852f3-a2e625f5b9a095dd3696e793a1a58aaf5d65402e3cc386751294da6c2d868b23-20,test,sequence-20250203-171900-879773-9852f3-a2e625f5b9a095dd3696e793a1a58aaf5d65402e3cc386751294da6c2d868b23-20,sequence-20250203-171900-879773-9852f3-a2e625f5b9a095dd3696e793a1a58aaf5d65402e3cc386751294da6c2d868b23-20,sequence-20250203-171900-879773-9852f3-a2e625f5b9a095dd3696e793a1a58aaf5d65402e3cc386751294da6c2d868b23-20.npy,/projets/Fbassignana/diffusers_try/flow_matching_trial/data/raw/v18/test/sequence-20250203-171900-879773-9852f3-a2e625f5b9a095dd3696e793a1a58aaf5d65402e3cc386751294da6c2d868b23-20.npy,256,192,49152,1,0,False,0.0,3368.6154263713584,0.06853465629824541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
test:sequence-20250204-134312-908488-985a04-1fb546e5c46d2692c866f3f61b7391073aef54c1e05b31b90d8796eb4facc488-14,test,sequence-20250204-134312-908488-985a04-1fb546e5c46d2692c866f3f61b7391073aef54c1e05b31b90d8796eb4facc488-14,sequence-20250204-134312-908488-985a04-1fb546e5c46d2692c866f3f61b7391073aef54c1e05b31b90d8796eb4facc488-14,sequence-20250204-134312-908488-985a04-1fb546e5c46d2692c866f3f61b7391073aef54c1e05b31b90d8796eb4facc488-14.npy,/projets/Fbassignana/diffusers_try/flow_matching_trial/data/raw/v18/test/sequence-20250204-134312-908488-985a04-1fb546e5c46d2692c866f3f61b7391073aef54c1e05b31b90d8796eb4facc488-14.npy,256,192,49152,1,0,False,0.0,1228.616835851135,0.02499627351585154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
test:sequence-20250204-143516-840976-ce3385-a06a975eb1ebd33aff41fa6ffdd1d84b4349fac6a66f8f163a49cef6f2f7c62f-63,test,sequence-20250204-143516-840976-ce3385-a06a975eb1ebd33aff41fa6ffdd1d84b4349fac6a66f8f163a49cef6f2f7c62f-63,sequence-20250204-143516-840976-ce3385-a06a975eb1ebd33aff41fa6ffdd1d84b4349fac6a66f8f163a49cef6f2f7c62f-63,sequence-20250204-143516-840976-ce3385-a06a975eb1ebd33aff41fa6ffdd1d84b4349fac6a66f8f163a49cef6f2f7c62f-63.npy,/projets/Fbassignana/diffusers_try/flow_matching_trial/data/raw/v18/test/sequence-20250204-143516-840976-ce3385-a06a975eb1ebd33aff41fa6ffdd1d84b4349fac6a66f8f163a49cef6f2f7c62f-63.npy,256,192,49152,1,0,False,0.0,1699.7698352406733,0.03458190582765042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
test:sequence-20250204-144606-323657-94fdf1-24eeca3f3e4b0aac99ebe603af2ab95cd2d4a850c953b66f9ff802e3ec421793-20,test,sequence-20250204-144606-323657-94fdf1-24eeca3f3e4b0aac99ebe603af2ab95cd2d4a850c953b66f9ff802e3ec421793-20,sequence-20250204-144606-323657-94fdf1-24eeca3f3e4b0aac99ebe603af2ab95cd2d4a850c953b66f9ff802e3ec421793-20,sequence-20250204-144606-323657-94fdf1-24eeca3f3e4b0aac99ebe603af2ab95cd2d4a850c953b66f9ff802e3ec421793-20.npy,/projets/Fbassignana/diffusers_try/flow_matching_trial/data/raw/v18/test/sequence-20250204-144606-323657-94fdf1-24eeca3f3e4b0aac99ebe603af2ab95cd2d4a850c953b66f9ff802e3ec421793-20.npy,256,192,49152,1,0,False,0.0,1793.6742069593165,0.03649239516111891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
test:sequence-20250204-155109-006729-9834f0-40b53a016e56fd93c7af86ebf4626f01b260effa895f3ec4f215b48f15d1f26a-46,test,sequence-20250204-155109-006729-9834f0-40b53a016e56fd93c7af86ebf4626f01b260effa895f3ec4f215b48f15d1f26a-46,sequence-20250204-155109-006729-9834f0-40b53a016e56fd93c7af86ebf4626f01b260effa895f3ec4f215b48f15d1f26a-46,sequence-20250204-155109-006729-9834f0-40b53a016e56fd93c7af86ebf4626f01b260effa895f3ec4f215b48f15d1f26a-46.npy,/projets/Fbassignana/diffusers_try/flow_matching_trial/data/raw/v18/test/sequence-20250204-155109-006729-9834f0-40b53a016e56fd93c7af86ebf4626f01b260effa895f3ec4f215b48f15d1f26a-46.npy,256,192,49152,1,0,False,0.0,3608.4263484430203,0.07341362199794556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
test:sequence-20250204-173820-447875-9834f0-84d13610a4cb32d6d9c57ff3e72f6954fbc976e37ed458c18ad0da9bd3c93c52-0,test,sequence-20250204-173820-447875-9834f0-84d13610a4cb32d6d9c57ff3e72f6954fbc976e37ed458c18ad0da9bd3c93c52-0,sequence-20250204-173820-447875-9834f0-84d13610a4cb32d6d9c57ff3e72f6954fbc976e37ed458c18ad0da9bd3c93c52-0,sequence-20250204-173820-447875-9834f0-84d13610a4cb32d6d9c57ff3e72f6954fbc976e37ed458c18ad0da9bd3c93c52-0.npy,/projets/Fbassignana/diffusers_try/flow_matching_trial/data/raw/v18/test/sequence-20250204-173820-447875-9834f0-84d13610a4cb32d6d9c57ff3e72f6954fbc976e37ed458c18ad0da9bd3c93c52-0.npy,256,192,49152,1,0,False,0.0,1712.168073921876,0.03483414863936108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
